datetime,name,sex,age
1/1/11 6:00,"Braund, Mr. Owen Harris",male,22
1/10/11 1:00,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38
2/2/11 2:00,"Heikkinen, Miss. Laina",female,26
3/2/11 4:00,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35
3/4/11 4:00,"Allen, Mr. William Henry",male,35
3/7/11 4:00,"Moran, Mr. James",male,
3/8/11 2:00,"McCarthy, Mr. Timothy J",male,54
3/10/11 0:00,"Palsson, Master. Gosta Leonard",male,2
4/3/11 4:00,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27
4/4/11 3:00,"Nasser, Mrs. Nicholas (Adele Achem)",female,14
8/8/11 3:00,"Sandstrom, Miss. Marguerite Rut",female,4
9/6/11 3:00,"Bonnell, Miss. Elizabeth",female,58
9/12/11 2:00,"Saundercock, Mr. William Henry",male,20
9/13/11 2:00,"Andersson, Mr. Anders Johan",male,39
9/18/11 4:00,"Vestrom, Miss. Hulda Amanda Adolfina",female,14
1/1/11 4:00,"Hewlett, Mrs. (Mary D Kingcome) ",female,55
1/1/11 5:00,"Rice, Master. Eugene",male,2
1/2/11 4:00,"Williams, Mr. Charles Eugene",male,
1/2/11 7:00,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31
1/3/11 4:00,"Masselmani, Mrs. Fatima",female,
1/4/11 2:00,"Fynney, Mr. Joseph J",male,35
1/6/11 4:00,"Beesley, Mr. Lawrence",male,34
1/7/11 2:00,"McGowan, Miss. Anna ""Annie""",female,15
1/7/11 4:00,"Sloper, Mr. William Thompson",male,28
1/8/11 4:00,"Palsson, Miss. Torborg Danira",female,8
1/9/11 4:00,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38
1/9/11 5:00,"Emir, Mr. Farred Chehab",male,
1/9/11 6:00,"Fortune, Mr. Charles Alexander",male,19
1/10/11 3:00,"O'Dwyer, Miss. Ellen ""Nellie""",female,
1/12/11 2:00,"Todoroff, Mr. Lalio",male,
1/14/11 2:00,"Uruchurtu, Don. Manuel E",male,40
1/14/11 3:00,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,
1/15/11 5:00,"Glynn, Miss. Mary Agatha",female,
1/16/11 4:00,"Wheadon, Mr. Edward H",male,66
1/16/11 5:00,"Meyer, Mr. Edgar Joseph",male,28
1/16/11 6:00,"Holverson, Mr. Alexander Oskar",male,42
1/17/11 5:00,"Mamee, Mr. Hanna",male,
1/19/11 4:00,"Cann, Mr. Ernest Charles",male,21
2/2/11 3:00,"Vander Planke, Miss. Augusta Maria",female,18
2/2/11 4:00,"Nicola-Yarred, Miss. Jamila",female,14
2/3/11 3:00,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40
2/4/11 2:00,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27
2/4/11 3:00,"Kraeff, Mr. Theodor",male,
2/6/11 5:00,"Laroche, Miss. Simonne Marie Anne Andree",female,3
2/6/11 6:00,"Devaney, Miss. Margaret Delia",female,19
2/7/11 3:00,"Rogers, Mr. William John",male,
2/7/11 4:00,"Lennon, Mr. Denis",male,
2/8/11 2:00,"O'Driscoll, Miss. Bridget",female,
2/8/11 3:00,"Samaan, Mr. Youssef",male,
2/10/11 4:00,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18
2/12/11 5:00,"Panula, Master. Juha Niilo",male,7
2/12/11 6:00,"Nosworthy, Mr. Richard Cater",male,21
2/14/11 3:00,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49
2/15/11 4:00,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29
